codigo_municipio_pni,vacina,cobertura_ano_anterior,tendencia,num_ubs,num_postos_saude,pib_per_capita,meta,vacina_BCG,vacina_Hepatite B,vacina_Poliomielite (3ª dose),vacina_Tríplice viral (D1),probabilidade_risco,nascidos_vivos,indice_urgencia
355030,Poliomielite (3ª dose),0.7847724996131639,-0.09826320728067583,649.0,10.0,93156.23455782696,0.95,False,False,True,False,0.90088783422946,122791.0,110620.91805286962
355030,Hepatite B,0.4616380679365751,-0.06345113720627732,649.0,10.0,93156.23455782696,0.95,False,True,False,False,0.8398204581640414,122791.0,103122.3938784208
355030,BCG,0.905986595108762,-0.016224864544020945,649.0,10.0,93156.23455782696,0.9,True,False,False,False,0.4522467936281196,122791.0,55531.836036390436
330455,Hepatite B,0.5638047883390662,0.15589974630763404,396.0,3.0,67371.97489125733,0.95,False,True,False,False,0.813160515530106,58726.0,47753.664435021004
530010,Poliomielite (3ª dose),0.7775134701364209,-0.08673747632112372,210.0,2.0,129790.43586934106,0.95,False,False,True,False,0.8708574729945043,34892.0,30385.958947724244
130260,Poliomielite (3ª dose),0.8892683968161995,-0.14379239237683283,261.0,13.0,61855.15113953701,0.95,False,False,True,False,0.8765390122688106,32791.0,28742.59075130657
230440,Poliomielite (3ª dose),0.827923894795747,-0.06992862600351346,138.0,11.0,35796.741312665006,0.95,False,False,True,False,0.8765776177289734,28592.0,25063.107246106807
330455,Poliomielite (3ª dose),2.196744201886728,0.7769868181040731,396.0,3.0,67371.97489125733,0.95,False,False,True,False,0.424668014638214,58726.0,24939.05382764376
292740,Poliomielite (3ª dose),0.8061233290211298,0.0700204942548065,178.0,0.0,31724.14895614718,0.95,False,False,True,False,0.878020695920127,23190.0,20361.299938387743
292740,Hepatite B,0.2983182406209573,0.170966576366254,178.0,0.0,31724.14895614718,0.95,False,True,False,False,0.8614575616573373,23190.0,19977.200854833653
310620,Poliomielite (3ª dose),0.6955286177345589,-0.043393816078724945,173.0,1.0,56227.29318177892,0.95,False,False,True,False,0.8743230080220918,22521.0,19690.62846366553
520870,Poliomielite (3ª dose),0.694829760403531,0.10454152937270078,107.0,0.0,52722.02487049228,0.95,False,False,True,False,0.8870858931593059,18239.0,16179.559605332579
410690,Poliomielite (3ª dose),0.7050786718181309,-0.16209771509509818,134.0,2.0,67691.29929334877,0.95,False,False,True,False,0.866834759278229,17859.0,15480.801965949891
351880,Poliomielite (3ª dose),0.8229723448756682,-0.16411802255233587,74.0,6.0,75522.4215437566,0.95,False,False,True,False,0.8842679030185184,17212.0,15220.01914675474
355030,Tríplice viral (D1),1.762743197791369,0.09152313636193421,649.0,10.0,93156.23455782696,0.95,False,False,False,True,0.11234334646342332,122791.0,13794.751855590213
292740,BCG,0.8872358775334196,0.5491495576219529,178.0,0.0,31724.14895614718,0.9,True,False,False,False,0.586517776524461,23190.0,13601.347237602251
261160,Poliomielite (3ª dose),0.8464147286821705,-0.14347109906665068,181.0,0.0,44563.37815329232,0.95,False,False,True,False,0.8072278349687937,16512.0,13328.946011004722
351880,Hepatite B,0.7624331861491982,-0.09202311970978894,74.0,6.0,75522.4215437566,0.95,False,True,False,False,0.7733692076154999,17212.0,13311.230801477985
150140,Poliomielite (3ª dose),0.6562455081213167,-0.1554551913770229,98.0,10.0,31100.17546376677,0.95,False,False,True,False,0.866778075179418,13914.0,12060.350138046422
431490,Poliomielite (3ª dose),0.7276831976313841,-0.11223898135694277,174.0,0.0,78586.23620901155,0.95,False,False,True,False,0.8796105633901853,13510.0,11883.538711401403
310620,Hepatite B,0.9741130500421828,0.08563186100363196,173.0,1.0,56227.29318177892,0.95,False,True,False,False,0.4956610050760826,22521.0,11162.781495318455
410690,Hepatite B,0.8870037516098326,-0.4875220900212722,134.0,2.0,67691.29929334877,0.95,False,True,False,False,0.6221014900411649,17859.0,11110.110510645163
270430,Poliomielite (3ª dose),0.8442679824223267,-0.08252329483624032,98.0,0.0,35232.29176671023,0.95,False,False,True,False,0.828760820661708,12971.0,10749.856604803013
520870,Hepatite B,0.9293820933165196,0.1495972909526906,107.0,0.0,52722.02487049228,0.95,False,True,False,False,0.5841720885851267,18239.0,10654.714723704126
350950,Poliomielite (3ª dose),0.8135825758874978,-0.10320765525074893,69.0,6.0,80741.46896484517,0.95,False,False,True,False,0.8925937349702844,11662.0,10409.428137223456
500270,Poliomielite (3ª dose),0.7874042266565631,-0.09167647326508754,82.0,0.0,47065.76995880192,0.95,False,False,True,False,0.8555846064817985,11877.0,10161.77837118432
211130,Poliomielite (3ª dose),0.8653556485355649,-0.10018168601866806,71.0,5.0,40846.0899520609,0.95,False,False,True,False,0.8482475546134394,11950.0,10136.5582776306
250750,Poliomielite (3ª dose),0.6279545050648658,-0.0010157938201711403,138.0,1.0,34106.055409793604,0.95,False,False,True,False,0.866444533421248,11254.0,9750.966779122726
221100,Poliomielite (3ª dose),0.8154430849091583,-0.10806002551074856,98.0,1.0,33994.07018353919,0.95,False,False,True,False,0.8383339478840262,10788.0,9043.946629772874
351880,BCG,0.9092493609109924,0.11983774224167765,74.0,6.0,75522.4215437566,0.9,True,False,False,False,0.4962615335104198,17212.0,8541.653514781345
330170,Poliomielite (3ª dose),0.6972119721197212,-9.744492063756827e-05,83.0,29.0,86700.55471620135,0.95,False,False,True,False,0.8745582525285107,9756.0,8532.19031166815
330350,Hepatite B,0.6070608809705978,0.14638063833628245,64.0,1.0,26109.53761896097,0.95,False,True,False,False,0.8805037401471344,9149.0,8055.728718606132
510340,Poliomielite (3ª dose),0.8102205721773313,-0.05219108860005384,100.0,2.0,59997.13156249184,0.95,False,False,True,False,0.8792028971928009,9158.0,8051.74013249167
355220,Poliomielite (3ª dose),0.7686342592592592,-0.029022179494062827,33.0,7.0,81273.6616359119,0.95,False,False,True,False,0.8990834461535573,8640.0,7768.080974766735
330170,Hepatite B,0.7466174661746617,0.14470144497612936,83.0,29.0,86700.55471620135,0.95,False,True,False,False,0.7955915616357455,9756.0,7761.791275318334
330350,Poliomielite (3ª dose),0.8138594381899661,-0.05799931397641178,64.0,1.0,26109.53761896097,0.95,False,False,True,False,0.8321460701770905,9149.0,7613.304396050201
240810,Poliomielite (3ª dose),0.7650478796169631,-0.12784311564370043,83.0,5.0,41477.49633967789,0.95,False,False,True,False,0.8668634830094827,8772.0,7604.126472959182
317020,Poliomielite (3ª dose),0.779291870486839,-0.11594375199790719,82.0,3.0,71598.38143416375,0.95,False,False,True,False,0.8820203769702217,8586.0,7573.026956666324
355220,Hepatite B,0.2457175925925926,0.011844676429268203,33.0,7.0,81273.6616359119,0.95,False,True,False,False,0.8607796822695115,8640.0,7437.136454808579
330350,BCG,0.6848835938353919,0.08436366315948196,64.0,1.0,26109.53761896097,0.9,True,False,False,False,0.8125042538581622,9149.0,7433.6014185483255
530010,Hepatite B,1.1858019030150178,-0.11925788906478507,210.0,2.0,129790.43586934106,0.95,False,True,False,False,0.20749356345825873,34892.0,7239.865416185564
330490,Poliomielite (3ª dose),0.792959133431807,0.25054982993035335,131.0,33.0,25719.36806937097,0.95,False,False,True,False,0.8849464202038814,8124.0,7189.304717736332
330490,Hepatite B,0.6211225997045791,0.11499189562165657,131.0,33.0,25719.36806937097,0.95,False,True,False,False,0.8594292396700305,8124.0,6982.003143079328
291080,Poliomielite (3ª dose),0.7236746550472041,-0.1195136752471434,123.0,2.0,35449.37138146792,0.95,False,False,True,False,0.8387486603281133,8262.0,6929.741431630872
420910,Poliomielite (3ª dose),0.8089098800102119,-0.0676367243340279,66.0,2.0,80828.33509379101,0.95,False,False,True,False,0.8770496370926897,7834.0,6870.806856984131
330490,BCG,0.5553914327917282,-0.33008448681388425,131.0,33.0,25719.36806937097,0.9,True,False,False,False,0.8262564899379506,8124.0,6712.507724255911
320500,Poliomielite (3ª dose),0.7981264018999868,-0.10126260013667299,43.0,0.0,72311.4147042272,0.95,False,False,True,False,0.8782535930552122,7579.0,6656.283981765453
280030,Poliomielite (3ª dose),0.7640580461259394,-0.09017737741641485,47.0,4.0,36983.190572652,0.95,False,False,True,False,0.855106497940116,7718.0,6599.7119511018145
160030,Poliomielite (3ª dose),0.7817136746424275,-0.1230349287095277,40.0,24.0,41701.24601237659,0.95,False,False,True,False,0.8785290182022207,7481.0,6572.275585170813
354870,Poliomielite (3ª dose),0.8293977182276466,-0.10594062763701495,38.0,0.0,88766.76546663558,0.95,False,False,True,False,0.8707114394840509,7538.0,6563.422830830776
354990,Poliomielite (3ª dose),0.8685180310608055,-0.030718201017447266,40.0,1.0,88077.14179963102,0.95,False,False,True,False,0.8598898135436487,7598.0,6533.442803304642
353440,Poliomielite (3ª dose),0.91621271076524,-0.09166630816982169,38.0,0.0,163878.11532839702,0.95,False,False,True,False,0.8393725376423461,7710.0,6471.562265222488
354340,Poliomielite (3ª dose),0.7401905829596412,-0.09029374752468922,53.0,2.0,74869.27496486041,0.95,False,False,True,False,0.8849667173283658,7136.0,6315.122494855219
